id;product_fk;categorie;id
1032;142;Cocktail Mixers;1032
1033;143;Food;1033
1034;143;Beverages;1034
1035;143;Beer;1035
1036;143; Wine & Spirits;1036
1037;143;Beer;1037
1038;144;Food;1038
1039;144;Beverages;1039
1040;144;Beer;1040
1041;144; Wine & Spirits;1041
1042;144;Cocktail Mixers;1042
1043;144;Bitters;1043
1044;144;Business & Industrial;1044
1045;144;Restaurant & Catering;1045
1046;144;Bar & Beverage Equipment;1046
1047;144;Bar Supplies;1047
1048;144;Home & Garden;1048
1049;144;Food & Beverages;1049
1050;144;Alcohol & Alcohol Mixers;1050
1051;144;Spirits;1051
1052;145;Food;1052
1053;145;Beverages;1053
1054;145;Beer;1054
1055;145; Wine & Spirits;1055
1056;145;Cocktail Mixers;1056
1057;145;Grocery & Gourmet Food;1057
1058;145;Bottled Beverages;1058
1059;145; Water & Drink Mixes;1059
1060;145;Bloody Mary;1060
1061;145;Meal Solutions;1061
1062;145; Grains & Pasta;1062
1063;145;Condiments;1063
1064;145; Sauces & Spices;1064
1065;145;Sauces;1065
1066;146;Food;1066
1067;146;Beverages;1067
1068;146;Beer;1068
1069;146; Wine & Spirits;1069
1070;146;Spirits;1070
1071;147;Food;1071
1072;147;Beverages;1072
1073;147;Beer;1073
1074;147; Wine & Spirits;1074
1075;147;Spirits;1075
1076;148;Food;1076
1077;148;Beverages;1077
1078;148;Beer;1078
1079;148; Wine & Spirits;1079
1080;148;Wine;1080
1081;149;Food;1081
1082;149;Beverages;1082
1083;149;Beer;1083
1084;149; Wine & Spirits;1084
1085;149;Spirits;1085
1086;150;Food;1086
1087;150;Beverages;1087
1088;150;Beer;1088
1089;150; Wine & Spirits;1089
1090;150;Beer;1090
1091;151;Food;1091
1092;151;Beverages;1092
1093;151;Beer;1093
1094;151; Wine & Spirits;1094
1095;151;Wine;1095
1096;152;Food;1096
1097;152;Beverages;1097
1098;152;Beer;1098
1099;152; Wine & Spirits;1099
1100;152;Cocktail Mixers;1100
1101;153;Food;1101
1102;153;Beverages;1102
1103;153;Beer;1103
1104;153; Wine & Spirits;1104
1105;153;Cocktail Mixers;1105
1106;153;Bloody Mary;1106
1107;153;Grocery & Gourmet Food;1107
1108;153;Bottled Beverages;1108
1109;153; Water & Drink Mixes;1109
1110;154;Food;1110
1111;154;Beverages;1111
1112;154;Beer;1112
1113;154; Wine & Spirits;1113
